sent_id,context,eng,acu,afr,ake,alb,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,glv,got,grc,gre,guj,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,mar,mya,nep,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tel,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.MAT.2.13a,and when they were departed behold the angel of the lord appeareth to joseph in a dream saying arise and take the young child and his mother and flee into egypt and be thou there until i bring thee word for herod will seek the young child to destroy him,when,NULL,toe,tʉpo,pasi,jnda,وبعدما,երբ,bada,NULL,NULL,tek,NULL,anae,NULL,mɨ,NULL,NA,ñerä,NULL,NULL,lè,když,da,da,wen,waato,wei,post,kui,NULL,kun,lorsqu,de,tra,NA,δὲ,αφου,ય,NULL,pošto,mikor,setelah,þegar,quando,yet,NULL,tura,mi,ora,NULL,cum,kad,NULL,tej,ka,ल,NULL,ल,ijcuac,nadat,da,ᐊᐲ,nung,چون,nony,gdy,havendo,pic,NULL,aretak,huasha,kana,ce,когда,llig,keď,ko,vakati,goortay,después,pošto,baada,när,ܟܕ,ప,nang,คร,NA,NULL,як,cuando,guyyiyan,xamee,NULL,NULL
b.MAT.2.14a,when he arose he took the young child and his mother by night and departed into egypt,when,NULL,toe,NULL,NULL,quia,NULL,եւ,eta,to,NULL,tek,NULL,ya,NULL,NULL,ꮏꮙꮓ,NA,jekäi,NULL,ⲇⲉ,NULL,NULL,og,und,NULL,NULL,NULL,kaj,NULL,NULL,NULL,NULL,NULL,eisht,NA,δὲ,δε,ય,NULL,NULL,NULL,NULL,NULL,NULL,lahwi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ka,त,အခ,NULL,NULL,NULL,da,NULL,NULL,NULL,NULL,NULL,NULL,pici,NULL,NULL,NULL,NULL,NULL,NULL,NULL,a,NULL,NULL,NULL,entonces,i,NULL,då,ܕܝܢ,NULL,at,NULL,NA,NULL,же,cuando,heeroodisi,NULL,ke,NULL
b.MAT.2.16a,then herod when he saw that he was mocked of the wise men was exceeding wroth and sent forth and slew all the children that were in bethlehem and in all the coasts thereof from two years old and under according to the time which he had diligently inquired of the wise men,when,NULL,NULL,tai,duke,jnda,لما,երբ,NULL,bajisere,като,tek,ni,anae,NULL,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,nu,nun,wen,za,NULL,NULL,kui,kpɔe,NULL,NULL,NULL,NULL,NA,NULL,NULL,ય,जब,NULL,NULL,ketika,NULL,NULL,hayet,NULL,irutissha,mi,ora,NULL,NULL,NULL,NULL,tej,no,ज,NULL,ल,oquimat,toen,nu,ᐊᐲ,NULL,چون,nony,NULL,NULL,kikike,tantara,aretak,NULL,kana,cînd,NULL,llig,NULL,NULL,wakati,goortuu,al,kad,NULL,nu,ܟܕ,NULL,nang,เฮโรดม,NA,NULL,NULL,cuando,wode,NULL,NULL,NULL
b.MAT.2.19a,but when herod was dead behold an angel of the lord appeareth in a dream to joseph in egypt,when,NULL,NULL,tʉpo,pasi,quia,فلما,երբ,aguer,bero,като,tek,na,anae,NULL,mɨ,ꮏꮙꮓ,NA,ñerä,ari,NULL,apre,když,da,da,wen,alwaato,kɔma,kiam,kui,esi,kun,quand,de,lurg,NA,NULL,NULL,ર,NULL,NULL,mikor,ketika,þegar,NULL,yet,NULL,NULL,mi,ora,NULL,defuncto,NULL,NULL,teˈ,no,ह,NULL,जब,ijcuac,na,da,ᐊᐲ,nungin,NULL,rehefa,gdy,tendo,pic,oti,aretak,NULL,kana,ce,NULL,llig,keď,ko,NULL,goortuu,cuando,NULL,baada,när,ܟܕ,ప,pagkamatay,คร,NA,sonra,як,cuando,NULL,ne,NULL,NULL
b.MAT.2.22a,but when he heard that archelaus did reign in judaea in the room of his father herod he was afraid to go thither notwithstanding being warned of god in a dream he turned aside into the parts of galilee,when,jear,toe,a,kur,quia,لما,երբ,NULL,NULL,като,tek,NULL,si,見,mɨ,NULL,NA,ñerä,irosati,NULL,lè,NULL,da,da,wen,waato,ɩlɛna,kiam,kui,esi,kun,ayant,NULL,NULL,NA,NULL,NULL,ય,NULL,NULL,mikor,sesudah,er,avendo,NULL,しかし,NULL,mi,orna,NULL,NULL,NULL,NULL,teˈ,ka,ह,NULL,पछ,ijcuac,NA,da,NULL,hongtun,NULL,rehefa,gdy,NULL,pic,NULL,aretak,nishca,kana,cînd,NULL,llig,keď,ko,wakati,goortuu,al,NULL,baada,när,NULL,NULL,nang,เม,NA,NULL,NULL,cuando,wode,bi,kaloku,NULL
b.MAT.3.7a,but when he saw many of the pharisees and sadducees come to his baptism he said unto them o generation of vipers who hath warned you to flee from the wrath to come,when,NULL,toe,tai,kur,quia,فلما,NULL,NULL,NULL,като,tek,pagtan,n,見,mɨ,NULL,NA,ra,NULL,NULL,lè,NULL,da,als,wen,waato,NULL,NULL,NULL,esi,NULL,NULL,orasi,tra,NA,NULL,NULL,બ,जब,kad,mikor,waktu,þegar,NULL,hayet,ヨハネは,NULL,mi,NULL,NULL,NULL,NULL,NULL,atzaj,no,ह,အခ,जब,ijcuac,toen,da,ᐊᐲ,NULL,چون,nony,gdy,vendo,pic,NULL,aretak,NULL,kana,cînd,NULL,llig,keď,ko,wakati,goortuu,cuando,kad,NULL,när,ܟܕ,ప,nang,คร,NA,NULL,бачивши,cuando,NULL,bi,kaloku,kwathi
b.MAT.3.16a,and jesus when he was baptized went up straightway out of the water and lo the heavens were opened unto him and he saw the spirit of god descending like a dove and lighting upon him,when,NULL,nadat,tai,sapo,jnda,فلما,երբ,NULL,NULL,като,tek,na,anae,NULL,mɨ,NULL,NA,NULL,NULL,NULL,NULL,NULL,da,da,wen,waato,NULL,NULL,kui,esi,kun,dès,orasi,lurg,NA,ὁ,NULL,ય,NULL,NULL,NULL,sesudah,þegar,appena,yet,NULL,NULL,mi,ora,NULL,NULL,NULL,NULL,atzaj,no,ह,NULL,त,ijcuac,na,da,ᐊᐲ,takin,چون,raha,NULL,NULL,kakishkcitapie,NULL,aretak,huasha,kana,ce,NULL,ir,keď,ko,wakati,goortii,cuando,NULL,alipokwisha,när,NULL,చ,nang,เม,NA,NULL,NULL,cuando,guyyiyan,bi,NULL,NULL
b.MAT.4.2a,and when he had fasted forty days and forty nights he was afterward an hungred,when,NULL,nadat,NULL,mbasi,NULL,فبعدما,NULL,NULL,NULL,като,tek,NULL,NULL,NULL,mɨ,NULL,NA,ra,ari,NULL,NULL,NULL,da,da,wen,waato,ɩlɛna,NULL,kui,emegbe,kun,après,orasi,tra,NA,NULL,NULL,ય,NULL,NULL,mikor,NULL,NULL,dopo,lahwi,NULL,NULL,mi,NULL,NULL,cum,kad,NULL,NULL,no,NULL,NULL,ल,NULL,NULL,da,NULL,nungin,چون,NULL,gdy,tendo,pic,NULL,NULL,NULL,kana,NULL,NULL,NULL,keď,ko,wakati,goortuu,después,NULL,NULL,när,NULL,NULL,nang,และเม,NA,NULL,NULL,cuando,yesuusi,NULL,uthe,NULL
b.MAT.4.3a,and when the tempter came to him he said if thou be the son of god command that these stones be made bread,when,NULL,NULL,NULL,pasi,NULL,NULL,փորձիչը,NULL,NULL,тъй,tek,NULL,NULL,NULL,lajeeˇ,ꮏꮙꮓ,NA,NULL,NULL,ⲟⲩⲟϩ,lè,NULL,og,und,NULL,NULL,NULL,NULL,NULL,esi,NULL,NULL,kagena,NULL,NA,ὁ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yapni,NULL,NULL,NULL,NULL,NULL,NULL,kārdinātājs,NULL,tej,ka,व,အခ,NULL,quemaj,NULL,NULL,NULL,huan,NULL,NULL,NULL,NULL,pic,NULL,xopan,NULL,NULL,NULL,NULL,ilmma,NULL,NULL,zvino,NULL,NULL,NULL,basi,då,NULL,NULL,NULL,เม,NA,zaman,прийшовши,NULL,NULL,bi,efikile,NULL
b.MAT.4.12a,now when jesus had heard that john was cast into prison he departed into galilee,when,engkewaramtai,toe,tai,NULL,quia,ولما,երբ,çuenean,NULL,когато,tek,NULL,anae,見,mɨ,NULL,NA,ra,NULL,NULL,lè,když,da,da,wen,waato,ɩlɛna,NULL,NA,esi,kun,NULL,orasi,tra,NA,NULL,NULL,NULL,जब,NULL,mikor,ketika,þegar,avendo,hayet,NULL,antuk,mi,ora,NULL,cum,kad,NULL,tej,no,NULL,NULL,NULL,ijcuac,toen,da,ᐊᐲ,NULL,چون,nony,gdy,ouvindo,pic,NULL,aretak,NULL,kana,cînd,NULL,llig,keď,ko,NULL,NULL,cuando,kad,NULL,när,ܟܕ,NULL,nang,คร,NA,NULL,як,cuando,wode,bés,NULL,kuthe
b.MAT.5.1a,and seeing the multitudes he went up into a mountain and when he was set his disciples came unto him,when,NULL,nadat,tai,pasi,quia,فلما,երբ,NULL,acõari,когато,tek,nakalingkod,anae,NULL,mɨ,NULL,NA,ra,NULL,ⲟⲩⲟϩ,NULL,když,da,da,wen,alwaato,ɩlɛna,kiam,kui,NULL,kun,après,kagena,tra,NA,NULL,αφου,ય,जब,kad,mint,sesudah,þegar,messosi,hayet,座につかれると,wáiniak,mi,ora,보시고,cum,kad,NULL,NULL,no,NULL,အခ,NULL,ijcuac,op,da,NULL,huan,وقتی,rehefa,gdy,tendo,ici,NULL,aretak,ricusha,NULL,dupăce,когда,llig,keď,ko,wakati,NULL,al,i,NULL,sedan,ܘܟܕ,NULL,NULL,และเม,NA,görünce,як,NULL,yesuusi,bi,NULL,NULL
b.MAT.5.11a,blessed are ye when men shall revile you and persecute you and shall say all manner of evil against you falsely for my sake,when,NULL,wanneer,tai,kur,quia,اذا,երբ,NULL,NULL,когато,tek,diha,yaguin,NULL,mɨ,ꭲᏻꮓ,NA,mika,iriotempirica,ⲉϣⲱⲡ,lè,když,når,wenn,te,waati,nɩɩ,kiam,kui,nenye,kun,lorsqu,NULL,tra,NA,ὅταν,οταν,ય,NULL,kad,ha,kalau,er,quando,yet,NULL,NULL,m,ora,때에는,cum,ja,kai,NULL,NULL,ह,အခ,जब,ijcuac,als,når,ᐊᐲ,hun,چون,raha,gdy,quando,pic,ane,aretak,imahoras,kana,cînd,когда,ig,keď,kadar,kana,goortii,cuando,ako,wakiwatukana,när,ܐܡܬܝ,నప,pagka,เม,NA,zaman,коли,NULL,wode,bu,xa,nxa
b.MAT.6.2a,therefore when thou doest thine alms do not sound a trumpet before thee as the hypocrites do in the synagogues and in the streets that they may have glory of men verily i say unto you they have their reward,when,nuna,wanneer,tai,kur,quia,فمتى,երբ,NULL,na,когато,tek,sa,yaguin,候,mɨ,ꭲᏻꮓ,егда,mika,ariorica,ⲉϣⲱⲡ,lè,když,når,wenn,te,waati,waatʋ,kiam,kui,ne,kun,que,nakoso,tra,þan,ὅταν,οταν,ય,जब,kada,mikor,kalau,þegar,quando,yet,NULL,NULL,m,NA,때에,cum,ja,NULL,aj,ka,ह,အခ,जब,ijcuac,wanneer,når,ᐊᐲ,NULL,چون,raha,gdy,quando,pic,ane,aretak,NULL,kana,cînd,когда,ig,keď,kadar,kana,markaad,cuando,kad,NULL,när,ܐܡܬܝ,నప,pagka,เม,NA,NULL,коли,cuando,wode,NULL,xa,nxa
b.MAT.6.3a,but when thou doest alms let not thy left hand know what thy right hand doeth,when,NULL,as,tai,kur,quia,فمتى,երբ,eguiten,na,когато,tek,NULL,yaguin,候,mɨ,ꭴꮩꮄꮀꮢ,же,ra,NULL,NULL,lè,když,når,wenn,te,waati,ye,kiam,kui,ne,kun,quand,nakoso,tra,NULL,ποιοῦντος,οταν,ય,जब,kada,mikor,kalau,þegar,quando,hayet,NULL,NULL,m,NA,때에,NULL,kad,kai,aj,ka,व,အခ,जब,ijcuac,als,når,ᐊᐲ,NULL,چون,raha,gdy,quando,pic,ane,aretak,NULL,kana,cînd,когда,akud,keď,kadar,kana,goortaad,cuando,kad,NULL,när,ܡܐ,నప,pagka,NULL,NA,NULL,як,cuando,wode,NULL,xa,nxa
b.MAT.6.5a,and when thou prayest thou shalt not be as the hypocrites are for they love to pray standing in the synagogues and in the corners of the streets that they may be seen of men verily i say unto you they have their reward,when,jesús,wanneer,tai,kur,quia,ومتى,երբ,eguiten,na,когато,tek,sa,yaguin,候,mɨ,NULL,егда,ra,ariorica,ⲉϣⲱⲡ,lè,když,når,wenn,NULL,waati,waatʋ,kiam,NA,ne,kun,lorsque,nakoso,tra,þan,ὅταν,οταν,NULL,जब,kad,mikor,kalau,þegar,quando,hayet,NULL,NULL,m,NA,때에,cum,kad,kai,aj,ka,व,အခ,जब,ijcuac,NULL,når,ᐊᐲ,NULL,چون,raha,gdy,quando,pic,ane,aretak,NULL,kana,cînd,когда,NULL,keď,kadar,kana,goortaad,cuando,kad,mnaposali,när,ܘܡܐ,నప,pagka,เม,NA,NULL,коли,cuando,NULL,bu,naxa,nalapho
b.MAT.6.6a,but thou when thou prayest enter into thy closet and when thou hast shut thy door pray to thy father which is in secret and thy father which seeth in secret shall reward thee openly,when,NULL,wanneer,tai,kur,quia,فمتى,երբ,NULL,jesús,когато,NULL,sa,yaguin,NULL,mɨ,ꭲᏻꮓ,егда,mika,ariorica,NULL,lè,když,når,wenn,te,waati,ye,kiam,kui,NULL,kun,quand,nakoso,tra,þan,ὅταν,οταν,ર,जब,kad,mikor,kalau,NULL,quando,hayet,NULL,NULL,m,NA,때에,cum,kad,kai,aj,ka,ह,NULL,ग,ijcuac,als,når,NULL,NULL,چون,raha,gdy,quando,pic,NULL,aretak,NULL,kana,cînd,когда,akud,keď,kadar,kana,goortaad,cuando,kad,NULL,när,ܐܡܬܝ,నప,pagka,NULL,NA,NULL,коли,cuando,wode,nag,xa,nxa
b.MAT.6.6b,but thou when thou prayest enter into thy closet and when thou hast shut thy door pray to thy father which is in secret and thy father which seeth in secret shall reward thee openly,when,NULL,wanneer,tai,kur,quia,فمتى,երբ,NULL,jesús,когато,NULL,sa,yaguin,NULL,mɨ,ꭲᏻꮓ,егда,mika,ariorica,NULL,lè,když,når,wenn,te,waati,ye,kiam,kui,NULL,kun,quand,nakoso,tra,þan,ὅταν,οταν,ર,जब,kad,mikor,kalau,NULL,quando,hayet,NULL,NULL,m,NA,때에,cum,kad,kai,aj,ka,ह,NULL,ग,ijcuac,als,når,NULL,NULL,چون,raha,gdy,quando,pic,NULL,aretak,NULL,kana,cînd,когда,akud,keď,kadar,kana,goortaad,cuando,kad,NULL,när,ܐܡܬܝ,నప,pagka,NULL,NA,NULL,коли,cuando,wode,nag,xa,nxa
b.MAT.6.7a,but when ye pray use not vain repetitions as the heathen do for they think that they shall be heard for their much speaking,when,NULL,as,NULL,kur,quia,NULL,անելիս,bada,na,когато,tek,pag,NULL,NULL,mɨ,NULL,NULL,ra,ariorica,NULL,lè,NULL,når,wenn,te,waati,ye,dum,kui,ne,kun,NULL,nakoso,NULL,þan,NULL,οταν,ય,समय,kad,mikor,kalau,þegar,NULL,hayet,NULL,NULL,m,NA,때에,NULL,NULL,NULL,aj,ka,ह,အခ,ल,ijcuac,als,når,ᐊᐲ,NULL,چون,raha,NULL,NULL,pic,ane,aretak,NULL,kana,cînd,NULL,akud,keď,kadar,NULL,goortaad,al,kad,NULL,NULL,ܘܡܐ,నప,NULL,เม,NA,NULL,як,cuando,wode,bu,NULL,nxa
b.MAT.6.16a,moreover when ye fast be not as the hypocrites of a sad countenance for they disfigure their faces that they may appear unto men to fast verily i say unto you they have their reward,when,nunia,wanneer,tai,kur,quia,ومتى,երբ,daguiçuenean,i,когато,tek,sa,yaguin,候,mɨ,NULL,же,mika,NULL,ⲉϣⲱⲡ,lè,když,når,wenn,te,waati,NULL,kiam,kui,ne,kun,lorsque,nakoso,tra,biþe,ὅταν,οταν,ય,जब,kad,mikor,kalau,þegar,quando,lahwi,NULL,NULL,asmi,NA,때에,cum,kad,kai,ajtzin,ka,ह,အခ,जब,ijcuac,als,når,ᐊᐲ,NULL,چون,raha,gdy,quando,pic,ane,aretak,NULL,kana,cînd,когда,ig,keď,kadar,kana,NULL,cuando,kad,NULL,när,ܐܡܬܝ,నప,pagka,นเม,NA,zaman,коли,cuando,wode,NULL,xa,nxa
b.MAT.6.17a,but thou when thou fastest anoint thine head and wash thy face,when,jesús,as,tai,kur,quia,فمتى,երբ,NULL,jesús,когато,tek,magapuasa,yaguin,候,mɨ,NULL,NULL,ra,NULL,NULL,lè,když,når,wenn,te,waati,ye,fastante,kui,NULL,kun,quand,nakoso,tra,NULL,νηστεύων,οταν,ય,जब,kad,mikor,kalau,nær,quando,yet,NULL,NULL,m,NA,때에,cum,kad,kai,aj,ka,व,NULL,जब,ijcuac,als,når,ᐊᐲ,chiangun,NULL,raha,gdy,quando,pic,NULL,aretak,NULL,kana,cînd,когда,akud,keď,kadar,kana,goortaad,cuando,kad,NULL,när,ܡܐ,నప,NULL,NULL,NA,zaman,коли,cuando,wode,nag,wakuzila,nxa
b.MAT.7.28a,and it came to pass when jesus had ended these sayings the people were astonished at his doctrine,when,NULL,toe,tai,kur,quia,فلما,երբ,NULL,NULL,когато,tek,na,anae,了,mɨ,ꮎꮝꭹ,егда,ra,ari,ⲉⲧⲁ,lè,když,da,da,NULL,kaŋ,ɩlɛna,kiam,kui,esi,kun,que,de,erreish,þan,ὅτε,οτε,NULL,जब,kad,mikor,NULL,þegar,quando,NULL,NULL,NULL,mi,NA,NULL,cum,kad,kai,NULL,no,ह,NULL,ल,NULL,NULL,da,ᐊᐲ,NULL,چون,nony,gdy,concluir,pic,kahudu,aretak,NULL,kana,NULL,когда,llig,keď,ko,wakati,goortii,cuando,kad,alipomaliza,när,NULL,నప,nang,NULL,NA,NULL,як,cuando,wode,bi,ke,NULL
b.MAT.8.1a,when he was come down from the mountain great multitudes followed him,when,NULL,toe,tai,kur,quia,ولما,երբ,eta,NULL,когато,tek,NULL,anae,NULL,mɨ,ꮏꮙꮓ,же,NULL,ari,NULL,apre,když,da,da,wen,NULL,ɩlɛna,kiam,kui,esi,kun,lorsque,NULL,tra,þan,δὲ,οτε,ય,जब,kad,mikor,NULL,NULL,quando,yet,NULL,NULL,mi,jëtschuayama,NULL,cum,kad,kai,tej,no,ह,NULL,पछ,ijcuac,NULL,da,ᐊᐲ,nungin,چون,raha,gdy,quando,ici,kamana,aretak,NULL,kana,cînd,когда,llig,keď,ko,wakati,goortuu,cuando,kad,NULL,sedan,ܟܕ,నప,nang,อนหายป,NA,NULL,як,cuando,wode,bi,ke,kwathi
