	eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
b.MAT.2.13a	when	NULL	toe	tʉpo	pasi	jnda	وبعدما	երբ	bada	NULL	NULL	tek	NULL	anae	NULL	mɨ	NULL	NA	ñerä	NULL	NULL	lè	když	da	da	wen	waato	wei	post	kui	NULL	kun	lorsqu	de	tra	NA	δὲ	αφου	ય	NULL	pošto	mikor	setelah	þegar	quando	yet	NULL	tura	mi	ora	NULL	cum	kad	NULL	tej	ka	ल	NULL	ल	ijcuac	nadat	da	ᐊᐲ	nung	چون	nony	gdy	havendo	pic	NULL	aretak	huasha	kana	ce	когда	llig	keď	ko	vakati	goortay	después	pošto	baada	när	ܟܕ	ప	nang	คร	NA	NULL	як	cuando	guyyiyan	xamee	NULL	NULL
b.MAT.2.14a	when	NULL	toe	NULL	NULL	quia	NULL	եւ	eta	to	NULL	tek	NULL	ya	NULL	NULL	ꮏꮙꮓ	NA	NULL	NULL	ⲇⲉ	NULL	NULL	og	und	NULL	NULL	NULL	kaj	NULL	NULL	NULL	NULL	NULL	NULL	NA	δὲ	δε	ય	NULL	NULL	NULL	NULL	NULL	NULL	lahwi	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ka	त	အခ	NULL	NULL	NULL	da	NULL	NULL	NULL	NULL	NULL	NULL	pici	NULL	NULL	NULL	NULL	NULL	NULL	NULL	a	NULL	NULL	NULL	entonces	i	NULL	då	ܕܝܢ	NULL	at	NULL	NA	NULL	же	cuando	heeroodisi	NULL	ke	NULL
b.MAT.2.16a	when	NULL	NULL	tai	duke	jnda	لما	երբ	NULL	NULL	като	tek	ni	anae	NULL	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	nu	nun	wen	za	NULL	NULL	kui	kpɔe	NULL	NULL	NULL	NULL	NA	NULL	NULL	ય	जब	NULL	NULL	ketika	NULL	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	tej	no	ज	NULL	ल	NULL	toen	nu	ᐊᐲ	NULL	چون	nony	NULL	NULL	NULL	tantara	aretak	NULL	kana	cînd	NULL	llig	NULL	NULL	wakati	goortuu	al	kad	NULL	nu	ܟܕ	NULL	nang	NULL	NA	NULL	NULL	cuando	wode	NULL	NULL	NULL
b.MAT.2.19a	when	NULL	NULL	tʉpo	pasi	quia	فلما	երբ	aguer	bero	като	tek	na	anae	NULL	mɨ	ꮏꮙꮓ	NA	ñerä	ari	NULL	apre	když	da	da	wen	alwaato	kɔma	kiam	kui	esi	kun	quand	de	lurg	NA	NULL	NULL	ર	NULL	NULL	mikor	ketika	þegar	NULL	yet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	teˈ	no	ह	NULL	जब	ijcuac	na	da	ᐊᐲ	nungin	NULL	rehefa	gdy	tendo	pic	oti	aretak	NULL	kana	ce	NULL	llig	keď	ko	NULL	goortuu	cuando	NULL	baada	när	ܟܕ	ప	NULL	คร	NA	sonra	як	cuando	NULL	ne	NULL	NULL
b.MAT.2.22a	when	NULL	toe	a	kur	quia	لما	երբ	NULL	NULL	като	tek	NULL	si	見	mɨ	NULL	NA	ñerä	irosati	NULL	lè	NULL	da	da	wen	waato	ɩlɛna	kiam	kui	esi	kun	ayant	NULL	NULL	NA	NULL	NULL	ય	NULL	NULL	mikor	sesudah	er	avendo	NULL	しかし	NULL	mi	orna	NULL	NULL	NULL	NULL	teˈ	ka	ह	NULL	पछ	ijcuac	NA	da	NULL	NULL	NULL	rehefa	gdy	NULL	pic	NULL	aretak	nishca	kana	cînd	NULL	llig	keď	ko	wakati	goortuu	al	NULL	baada	när	NULL	NULL	nang	เม	NA	NULL	NULL	cuando	wode	bi	kaloku	NULL
b.MAT.3.7a	when	NULL	toe	tai	kur	quia	فلما	NULL	NULL	NULL	като	tek	pagtan	n	見	mɨ	NULL	NA	ra	NULL	NULL	lè	NULL	da	als	wen	waato	NULL	NULL	NULL	esi	NULL	NULL	orasi	tra	NA	NULL	NULL	NULL	जब	kad	mikor	waktu	þegar	NULL	hayet	NULL	NULL	mi	NULL	NULL	NULL	NULL	NULL	atzaj	no	ह	အခ	जब	ijcuac	toen	da	ᐊᐲ	NULL	چون	nony	gdy	vendo	pic	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	wakati	goortuu	cuando	kad	NULL	när	ܟܕ	ప	nang	คร	NA	NULL	бачивши	cuando	NULL	bi	kaloku	kwathi
b.MAT.3.16a	when	NULL	nadat	tai	sapo	jnda	فلما	երբ	NULL	NULL	като	tek	na	anae	NULL	mɨ	NULL	NA	NULL	NULL	NULL	NULL	NULL	da	da	wen	waato	NULL	NULL	kui	esi	kun	dès	orasi	lurg	NA	ὁ	NULL	ય	NULL	NULL	NULL	sesudah	þegar	appena	yet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	atzaj	no	ह	NULL	त	ijcuac	na	da	ᐊᐲ	takin	چون	raha	NULL	NULL	NULL	NULL	aretak	huasha	kana	ce	NULL	ir	keď	ko	wakati	goortii	cuando	NULL	NULL	när	NULL	చ	nang	เม	NA	NULL	NULL	cuando	guyyiyan	bi	NULL	NULL
b.MAT.4.2a	when	NULL	nadat	NULL	mbasi	NULL	فبعدما	NULL	NULL	NULL	като	tek	NULL	NULL	NULL	mɨ	NULL	NA	ra	ari	NULL	NULL	NULL	da	da	wen	waato	ɩlɛna	NULL	kui	emegbe	kun	après	orasi	tra	NA	NULL	NULL	ય	NULL	NULL	mikor	NULL	NULL	dopo	lahwi	NULL	NULL	mi	NULL	NULL	cum	kad	NULL	NULL	no	NULL	NULL	ल	NULL	NULL	da	NULL	nungin	چون	NULL	gdy	tendo	pic	NULL	NULL	NULL	kana	NULL	NULL	NULL	keď	ko	wakati	goortuu	después	NULL	NULL	när	NULL	NULL	nang	และเม	NA	NULL	NULL	cuando	yesuusi	NULL	uthe	NULL
b.MAT.4.3a	when	NULL	NULL	NULL	pasi	NULL	NULL	NULL	NULL	NULL	тъй	tek	NULL	NULL	NULL	lajeeˇ	ꮏꮙꮓ	NA	NULL	NULL	ⲟⲩⲟϩ	lè	NULL	og	und	NULL	NULL	NULL	NULL	NULL	esi	NULL	NULL	kagena	NULL	NA	ὁ	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yapni	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	tej	ka	व	အခ	NULL	quemaj	NULL	NULL	NULL	huan	NULL	NULL	NULL	NULL	pic	NULL	xopan	NULL	NULL	NULL	NULL	ilmma	NULL	NULL	zvino	NULL	NULL	NULL	basi	då	NULL	NULL	NULL	เม	NA	zaman	прийшовши	NULL	NULL	bi	NULL	NULL
b.MAT.4.12a	when	NULL	toe	tai	NULL	quia	ولما	երբ	çuenean	NULL	когато	tek	NULL	anae	見	mɨ	NULL	NA	ra	NULL	NULL	lè	když	da	da	wen	waato	ɩlɛna	NULL	NA	esi	kun	NULL	orasi	tra	NA	NULL	NULL	NULL	जब	NULL	mikor	ketika	þegar	avendo	hayet	NULL	antuk	mi	ora	NULL	cum	kad	NULL	tej	no	NULL	NULL	NULL	ijcuac	toen	da	ᐊᐲ	NULL	چون	nony	gdy	ouvindo	pic	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	NULL	NULL	cuando	kad	NULL	när	ܟܕ	NULL	nang	คร	NA	NULL	як	cuando	wode	bés	NULL	kuthe
b.MAT.5.1a	when	NULL	nadat	tai	pasi	quia	فلما	երբ	NULL	acõari	когато	tek	NULL	anae	NULL	mɨ	NULL	NA	ra	NULL	ⲟⲩⲟϩ	NULL	když	da	da	wen	alwaato	ɩlɛna	kiam	kui	NULL	kun	après	kagena	tra	NA	NULL	αφου	ય	जब	kad	mint	sesudah	þegar	NULL	hayet	NULL	wáiniak	mi	ora	NULL	cum	kad	NULL	NULL	no	NULL	အခ	NULL	ijcuac	op	da	NULL	huan	وقتی	rehefa	gdy	tendo	ici	NULL	aretak	ricusha	NULL	dupăce	когда	llig	keď	ko	wakati	NULL	al	i	NULL	sedan	ܘܟܕ	NULL	NULL	และเม	NA	görünce	як	NULL	yesuusi	bi	NULL	NULL
b.MAT.5.11a	when	NULL	wanneer	tai	kur	quia	اذا	երբ	NULL	NULL	когато	tek	diha	yaguin	NULL	mɨ	ꭲᏻꮓ	NA	mika	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	nɩɩ	kiam	kui	nenye	kun	lorsqu	NULL	tra	NA	ὅταν	οταν	ય	NULL	kad	ha	kalau	er	quando	yet	NULL	NULL	m	ora	때에는	cum	ja	kai	NULL	NULL	ह	အခ	जब	ijcuac	als	når	ᐊᐲ	hun	چون	raha	gdy	quando	pic	ane	aretak	imahoras	kana	cînd	когда	ig	keď	kadar	kana	goortii	cuando	ako	NULL	när	ܐܡܬܝ	నప	pagka	เม	NA	zaman	коли	NULL	wode	bu	xa	nxa
b.MAT.6.2a	when	nuna	wanneer	tai	kur	quia	فمتى	երբ	NULL	na	когато	tek	sa	yaguin	候	mɨ	ꭲᏻꮓ	егда	mika	ariorica	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	waatʋ	kiam	kui	ne	kun	que	nakoso	tra	þan	ὅταν	οταν	ય	जब	kada	mikor	kalau	þegar	quando	yet	NULL	NULL	m	NA	때에	cum	ja	NULL	aj	ka	ह	အခ	जब	ijcuac	wanneer	når	ᐊᐲ	NULL	چون	raha	gdy	quando	pic	ane	aretak	NULL	kana	cînd	когда	ig	keď	kadar	kana	markaad	cuando	kad	NULL	när	ܐܡܬܝ	నప	pagka	เม	NA	NULL	коли	cuando	wode	NULL	xa	nxa
b.MAT.6.3a	when	NULL	as	tai	kur	quia	فمتى	երբ	eguiten	na	когато	tek	NULL	yaguin	候	mɨ	ꭴꮩꮄꮀꮢ	же	ra	NULL	NULL	lè	když	når	wenn	te	waati	ye	kiam	kui	ne	kun	quand	nakoso	tra	NULL	NULL	οταν	ય	जब	kada	mikor	kalau	þegar	quando	hayet	NULL	NULL	m	NA	때에	NULL	kad	kai	aj	ka	व	အခ	जब	ijcuac	als	når	ᐊᐲ	NULL	چون	raha	gdy	quando	pic	ane	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܡܐ	నప	pagka	NULL	NA	NULL	як	cuando	wode	NULL	xa	nxa
b.MAT.6.5a	when	jesús	wanneer	tai	kur	quia	ومتى	երբ	eguiten	na	когато	tek	sa	yaguin	候	mɨ	NULL	егда	ra	ariorica	ⲉϣⲱⲡ	lè	když	når	wenn	NULL	waati	waatʋ	kiam	NA	ne	kun	lorsque	nakoso	tra	þan	ὅταν	οταν	NULL	जब	kad	mikor	kalau	þegar	quando	hayet	NULL	NULL	m	NA	때에	cum	kad	kai	aj	ka	व	အခ	जब	ijcuac	NULL	når	ᐊᐲ	NULL	چون	raha	gdy	quando	pic	ane	aretak	NULL	kana	cînd	когда	NULL	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܘܡܐ	నప	pagka	เม	NA	NULL	коли	cuando	NULL	bu	naxa	nalapho
b.MAT.6.6a	when	NULL	wanneer	tai	kur	quia	فمتى	երբ	NULL	jesús	когато	NULL	sa	yaguin	NULL	mɨ	ꭲᏻꮓ	егда	mika	ariorica	NULL	lè	když	når	wenn	te	waati	ye	kiam	kui	NULL	kun	quand	nakoso	tra	þan	ὅταν	οταν	ર	जब	kad	mikor	kalau	NULL	quando	hayet	NULL	NULL	m	NA	때에	cum	kad	kai	aj	ka	ह	NULL	ग	ijcuac	als	når	NULL	NULL	چون	raha	gdy	quando	pic	NULL	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܐܡܬܝ	నప	pagka	NULL	NA	NULL	коли	cuando	wode	nag	xa	nxa
b.MAT.6.6b	when	NULL	wanneer	tai	kur	quia	فمتى	երբ	NULL	jesús	когато	NULL	sa	yaguin	NULL	mɨ	ꭲᏻꮓ	егда	mika	ariorica	NULL	lè	když	når	wenn	te	waati	ye	kiam	kui	NULL	kun	quand	nakoso	tra	þan	ὅταν	οταν	ર	जब	kad	mikor	kalau	NULL	quando	hayet	NULL	NULL	m	NA	때에	cum	kad	kai	aj	ka	ह	NULL	ग	ijcuac	als	når	NULL	NULL	چون	raha	gdy	quando	pic	NULL	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܐܡܬܝ	నప	pagka	NULL	NA	NULL	коли	cuando	wode	nag	xa	nxa
b.MAT.6.7a	when	NULL	as	NULL	kur	quia	NULL	NULL	bada	na	когато	tek	pag	NULL	NULL	mɨ	NULL	NULL	ra	ariorica	NULL	lè	NULL	når	wenn	te	waati	ye	dum	kui	ne	kun	NULL	nakoso	NULL	þan	NULL	οταν	ય	समय	kad	mikor	kalau	þegar	NULL	hayet	NULL	NULL	m	NA	때에	NULL	NULL	NULL	aj	ka	ह	အခ	ल	ijcuac	als	når	ᐊᐲ	NULL	چون	raha	NULL	NULL	pic	ane	aretak	NULL	kana	cînd	NULL	akud	keď	kadar	NULL	goortaad	al	kad	NULL	NULL	ܘܡܐ	నప	NULL	เม	NA	NULL	як	cuando	wode	bu	NULL	nxa
b.MAT.6.16a	when	nunia	wanneer	tai	kur	quia	ومتى	երբ	NULL	i	когато	tek	sa	yaguin	候	mɨ	NULL	же	mika	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	NULL	kiam	kui	ne	kun	lorsque	nakoso	tra	biþe	ὅταν	οταν	ય	जब	kad	mikor	kalau	þegar	quando	lahwi	NULL	NULL	asmi	NA	때에	cum	kad	kai	ajtzin	ka	ह	အခ	जब	ijcuac	als	når	ᐊᐲ	NULL	چون	raha	gdy	quando	pic	ane	aretak	NULL	kana	cînd	когда	ig	keď	kadar	kana	NULL	cuando	kad	NULL	när	ܐܡܬܝ	నప	pagka	นเม	NA	zaman	коли	cuando	wode	NULL	xa	nxa
b.MAT.6.17a	when	jesús	as	tai	kur	quia	فمتى	երբ	NULL	jesús	когато	tek	NULL	yaguin	候	mɨ	NULL	NULL	ra	NULL	NULL	lè	když	når	wenn	te	waati	ye	NULL	kui	NULL	kun	quand	nakoso	tra	NULL	NULL	οταν	ય	जब	kad	mikor	kalau	nær	quando	yet	NULL	NULL	m	NA	때에	cum	kad	kai	aj	ka	व	NULL	जब	ijcuac	als	når	ᐊᐲ	chiangun	NULL	raha	gdy	quando	pic	NULL	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	goortaad	cuando	kad	NULL	när	ܡܐ	నప	NULL	NULL	NA	zaman	коли	cuando	wode	nag	NULL	nxa
b.MAT.7.28a	when	NULL	toe	tai	kur	quia	فلما	երբ	NULL	NULL	когато	tek	na	anae	了	mɨ	ꮎꮝꭹ	егда	ra	ari	ⲉⲧⲁ	lè	když	da	da	NULL	kaŋ	ɩlɛna	kiam	kui	esi	kun	que	de	erreish	þan	ὅτε	οτε	NULL	जब	kad	mikor	NULL	þegar	quando	NULL	NULL	NULL	mi	NA	NULL	cum	kad	kai	NULL	no	ह	NULL	ल	NULL	NULL	da	ᐊᐲ	NULL	چون	nony	gdy	NULL	pic	kahudu	aretak	NULL	kana	NULL	когда	llig	keď	ko	wakati	goortii	cuando	kad	alipomaliza	när	NULL	నప	nang	NULL	NA	NULL	як	cuando	wode	bi	ke	NULL
b.MAT.8.1a	when	NULL	toe	tai	kur	quia	ولما	երբ	eta	NULL	когато	tek	NULL	anae	NULL	mɨ	ꮏꮙꮓ	же	NULL	ari	NULL	apre	když	da	da	wen	NULL	ɩlɛna	kiam	kui	esi	kun	lorsque	NULL	tra	þan	δὲ	οτε	ય	जब	kad	mikor	NULL	NULL	quando	yet	NULL	NULL	mi	jëtschuayama	NULL	cum	kad	kai	tej	no	ह	NULL	पछ	ijcuac	NULL	da	ᐊᐲ	nungin	چون	raha	gdy	quando	ici	NULL	aretak	NULL	kana	cînd	когда	llig	keď	ko	wakati	goortuu	cuando	kad	NULL	sedan	ܟܕ	నప	nang	NULL	NA	NULL	як	cuando	wode	bi	ke	kwathi
b.MAT.8.5a	when	NULL	nadat	tai	kur	NULL	ولما	NULL	NULL	acõari	когато	tek	abut	anae	NULL	mɨ	ꮏꮙꮓ	NULL	ra	ari	NULL	antan	když	da	da	wen	waato	ɩlɛna	kiam	kui	esi	kun	comme	NULL	tra	þan	δὲ	οτε	NULL	जब	kad	mikor	waktu	þegar	NULL	hayet	NULL	NULL	akken	NA	NULL	cum	kad	NULL	tej	no	ह	NULL	जब	ijcuac	toen	da	ᐊᐲ	NULL	چون	nony	gdy	tendo	pic	NULL	NULL	NULL	NULL	cînd	когда	NULL	keď	ko	NULL	goortuu	cuando	kad	NULL	när	ܟܕ	నప	NULL	เม	NA	varınca	як	cuando	wode	gannaaw	kaloku	kwathi
b.MAT.8.10a	when	NULL	toe	tai	kur	quia	فلما	երբ	eta	to	като	tek	NULL	anae	NULL	mɨ	NULL	же	ra	ari	NULL	lè	tedy	da	da	wen	waato	ɩlɛna	kiam	kui	NULL	kuultuaan	après	kagena	tra	þan	δὲ	NULL	NULL	NULL	NULL	mikor	waktu	þegar	NULL	hayet	NULL	kapitián	mi	NA	NULL	NULL	to	NULL	tej	no	व	NULL	जब	ijcuac	NULL	da	ᐊᐲ	huan	چون	nony	gdy	NULL	ici	me	aretak	caita	kana	cînd	NULL	llig	keď	ko	wakati	goortuu	cuando	kad	NULL	när	ܟܕ	NULL	nang	คร	NA	NULL	NULL	cuando	wode	bi	ke	NULL
b.MAT.8.14a	when	NULL	toe	NULL	hyri	NULL	ولما	NULL	NULL	ejacõari	когато	tek	pagsulod	anae	NULL	NULL	NULL	пришедъ	NULL	ari	ⲇⲉ	apre	NULL	NULL	und	wen	waato	NULL	kiam	NULL	esi	kun	ayant	NULL	tra	qimands	ἐλθὼν	ελθων	ય	NULL	NULL	NULL	NULL	NULL	NULL	lahwi	NULL	NULL	NULL	NA	NULL	cum	kad	NULL	tej	no	NULL	NULL	NULL	NULL	NULL	da	NULL	huan	چون	nony	gdy	tendo	NULL	NULL	NULL	NA	kana	NULL	NULL	NULL	keď	ko	wakati	goortuu	NULL	došavši	NULL	när	NULL	తర	nang	คร	NA	NULL	NULL	NULL	NULL	loolu	kaloku	NULL
b.MAT.8.16a	when	NULL	toe	tai	kur	quia	ولما	երբ	eta	na	когато	tek	NULL	anae	NULL	mɨ	NULL	же	NULL	ari	ⲉⲧⲁ	lè	když	da	aber	na	NULL	ɩlɛna	kiam	NULL	NULL	NULL	NULL	orasi	tra	NULL	δὲ	οτε	ય	जब	NULL	NULL	waktu	þegar	NULL	hayet	NULL	NULL	mi	NA	NULL	NULL	vakaram	NULL	tej	NULL	NULL	NULL	ल	ijcuac	NULL	da	ᐊᐲ	huan	چون	nony	gdy	NULL	ici	NULL	aretak	NULL	kana	NULL	когда	llig	keď	ko	ava	goortii	al	a	ilipokuwa	när	ܟܕ	నప	nang	NULL	NA	olunca	як	cuando	wode	NULL	NULL	kwathi
