sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.15.11,"and when the fowls came down upon the carcases , abram drove them away .",when,NA,toe,NA,NULL,NULL,NA,NULL,գիշակեր,NA,NA,NULL,NA,nanugpa,NA,NULL,NA,NA,NA,NA,NA,NA,fwa,NULL,da,NULL,NA,saaya,NA,NULL,kui,NA,NULL,NULL,NA,NA,NA,NA,NA,δε,NA,NULL,जब,NULL,ragadozó,dihinggapi,hræfuglar,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,plėšrieji,NA,ka,NA,toen,rovfugler,NA,chiangin,چون,NULL,NULL,NULL,NA,NA,NA,NA,NA,răpitoare,налетели,NA,NULL,ko,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,เม,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.15.12,"and when the sun was going down , a deep sleep fell upon abram ; and , lo , an horror of great darkness fell upon him .",when,NA,toe,NA,NULL,ጊዜ,NA,ولما,NULL,NA,NA,NULL,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,nun,NA,saaya,NA,cxe,kui,NA,kun,NULL,NA,NA,NA,NA,NA,NULL,NA,ויהי,जब,kad,NULL,ketika,er,mentre,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,i,NA,NULL,nu,NA,",",چون,rehefa,gdy,ao,NA,NA,NA,NA,NA,la,при,NA,keď,ko,NULL,kolkii,cuando,kad,NA,när,NA,nang,เม,as,NULL,NA,NA,NA,NA,xa,NA
b.GEN.15.17,"and it came to pass , that , when the sun went down , and it was dark , behold a smoking furnace , and a burning lamp that passed between those pieces .",when,NA,toe,NA,perënduar,ጊዜ,NA,واذا,երբ,NA,NA,когато,NA,na,NA,NULL,NA,NA,NA,NA,NA,NA,apre,když,da,nun,NA,waati,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,ketika,er,NULL,NA,NULL,NA,NA,NA,때에,cum,NA,NULL,NA,no,NA,toen,nu,NA,NULL,چون,rehefa,gdy,quando,NA,NA,NA,NA,NA,NULL,когда,NA,keď,ko,NULL,markii,vez,NULL,NA,NULL,NA,paglubog,่,as,çökünce,NA,NA,NA,NA,lakuba,NA
b.GEN.16.4,"and he went in unto hagar , and she conceived : and when she saw that she had conceived , her mistress was despised in her eyes .",when,NA,toe,NA,kur,ጊዜ,NA,ولما,երբ,NA,NA,като,NA,pagkakita,NA,NULL,NA,NA,NA,NA,NA,NA,lè,pak,da,als,NA,saaya,NA,kaj,kui,NA,kun,quand,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,a,ketika,er,quando,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,no,NA,toen,da,NA,takin,چون,rehefa,NULL,vendo,NA,NA,NA,NA,NA,cînd,NULL,NA,keď,ko,wakati,markay,al,kad,NA,när,NA,nang,เม,NULL,",",NA,NA,NA,NA,NULL,NA
b.GEN.16.5,"and sarai said unto abram , my wrong be upon thee : i have given my maid into thy bosom ; and when she saw that she had conceived , i was despised in her eyes : the lord judge between me and thee .",when,NA,dat,NA,kur,ጊዜ,NA,فلما,իսկ,NA,NA,като,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,lè,NULL,nu,nun,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,αφου,NA,NULL,जब,NULL,NULL,bahwa,er,quando,NA,NULL,NA,NA,NA,NULL,NULL,NA,tegula,NA,no,NA,NULL,da,NA,takin,وچون,nony,NULL,NULL,NA,NA,NA,NA,NA,cînd,NULL,NA,keď,ko,NULL,markay,y,NULL,NA,då,NA,nang,เม,NULL,.,NA,NA,NA,NA,uthe,NA
b.GEN.16.6,"but abram said unto sarai , behold , thy maid is in thy hand ; do to her as it pleaseth thee . and when sarai dealt hardly with her , she fled from her face .",when,NA,toe,NA,atëherë,ጊዜ,NA,فاذل,NULL,NA,NA,NULL,NA,si,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,tedy,da,nun,NA,NULL,NA,kaj,siis,NA,niin,NULL,NA,NA,NA,NA,NA,NULL,NA,NULL,NULL,NULL,NULL,lalu,þá,.,NA,NULL,NA,NA,NA,NULL,NULL,NA,kai,NA,ka,NA,toen,og,NA,hihgenthei,چون,raha,NULL,NULL,NA,NA,NA,NA,NA,atunci,и,NA,a,NULL,zvino,NULL,como,stade,NA,NULL,NA,at,เม,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.16.16,"and abram was fourscore and six years old , when hagar bare ishmael to abram .",when,NA,toe,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,pag,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,NULL,þegar,quando,NA,ハガルがイシマエルをアブラムに産んだ時,NA,NA,NA,때에,quando,NA,kai,NA,NULL,NA,NA,da,NA,laiin,چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,markii,cuando,kad,NA,när,NA,nang,่,as,NULL,NA,NA,NA,NA,oko,NA
b.GEN.17.1,"and when abram was ninety years old and nine , the lord appeared to abram , and said unto him , i am the almighty god ; walk before me , and be thou perfect .",when,NA,toe,NA,kur,ጊዜ,NA,ولما,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,NULL,když,da,nun,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,ויהי,जब,kad,mikor,ketika,er,quando,NA,NULL,NA,NA,NA,때에,postquam,NA,kai,NA,ka,NA,toen,da,NA,huan,چون,rehefa,gdy,quando,NA,NA,NA,NA,NA,cînd,NULL,NA,keď,ko,wakati,markuu,cuando,kad,NA,när,NA,nang,่,NA,NULL,NA,NA,NA,NA,akuba,NA
b.GEN.17.24,"and abraham was ninety years old and nine , when he was circumcised in the flesh of his foreskin .",when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,तब,kad,mikor,ketika,er,quando,NA,NULL,NA,NA,NA,NULL,quando,NA,NULL,NA,i,NA,toen,da,NA,lai,وقتی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,musi,markii,cuando,kad,NA,när,NA,nang,เม,NA,NULL,NA,NA,NA,NA,",",NA
b.GEN.17.25,"and ishmael his son was thirteen years old , when he was circumcised in the flesh of his foreskin .",when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,когато,NA,na,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,तब,kad,mikor,NULL,er,quando,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,NULL,NA,NA,da,NA,lai,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,musi,markii,cuando,kad,NA,när,NA,nang,เม,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.18.2,"and he lift up his eyes and looked , and , lo , three men stood by him : and when he saw them , he ran to meet them from the tent door , and bowed himself toward the ground ,",when,NA,toe,NA,sa,ጊዜ,NA,فلما,NULL,NA,NA,като,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,wè,jakž,snart,da,NA,saaya,NA,NULL,NULL,NA,NULL,quand,NA,NA,NA,NA,NA,ως,NA,NULL,जब,čim,NULL,NULL,er,appena,NA,NULL,NA,NA,NA,NULL,cum,NA,",",NA,no,NA,NULL,da,NA,takin,چون,nony,NULL,quando,NA,NA,NA,NA,NA,cînd,NULL,NA,keď,ko,akati,kolkuu,al,NULL,NA,då,NA,NULL,เม,NULL,",",NA,NA,NA,NA,NULL,NA
b.GEN.19.15,"and when the morning arose , then the angels hastened lot , saying , arise , take thy wife , and thy two daughters , which are here ; lest thou be consumed in the iniquity of the city .",when,NA,toe,NA,sa,ጊዜ,NA,ولما,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,nun,NA,waato,NA,kiam,kui,NA,sarastaessa,dès,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,NULL,mikor,waktu,er,quando,NA,夜が明けて,NA,NA,NA,때에,cumque,NA,NULL,NA,huakanga,NA,bij,nu,NA,huan,NULL,nony,gdy,ao,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,utonga,markii,al,kad,NA,när,NA,nang,เม,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.19.17,"and it came to pass , when they had brought them forth abroad , that he said , escape for thy life ; look not behind thee , neither stay thou in all the plain ; escape to the mountain , lest thou be consumed .",when,NA,toe,NA,ndërsa,NULL,NA,لما,երբ,NA,NA,като,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,apre,když,idet,als,NA,waato,NA,kiam,NULL,NA,NULL,après,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,kad,mikor,sesudah,er,dopo,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,ka,NA,NULL,da,NA,NULL,چون,rehefa,gdy,quando,NA,NA,NA,NA,NA,după,когда,NA,keď,ko,vakati,markay,después,kad,NA,medan,NA,nang,อท,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.19.23,the sun was risen upon the earth when lot entered into zoar .,when,NA,toe,NA,kur,ጊዜ,NA,NULL,եւ,NA,NA,когато,NA,pag,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,og,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,NULL,izlazilo,mikor,ketika,er,NULL,NA,NULL,NA,NA,NA,때에,NULL,NA,",",NA,ka,NA,toen,da,NA,a,چون,raha,a,quando,NA,NA,NA,NA,NA,cînd,",",NA,keď,ko,NULL,markii,cuando,kad,NA,och,NA,nang,เม,as,doğmuştu,NA,NA,NA,NA,",",NA
b.GEN.19.29,"and it came to pass , when god destroyed the cities of the plain , that god remembered abraham , and sent lot out of the midst of the overthrow , when he overthrew the cities in the which lot dwelt .",when,NA,onderwyl,NA,kur,ጊዜ,NA,لما,NULL,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,se,mikor,ketika,er,quando,NA,、,NA,NA,NA,NULL,cum,NA,kai,NA,i,NA,NULL,da,NA,laia,هنگامی,raha,gdy,que,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,wakati,markii,cuando,kad,NA,NULL,NA,nang,ื,NULL,NULL,NA,NA,NA,NA,xenikweni,NA
b.GEN.19.29,"and it came to pass , when god destroyed the cities of the plain , that god remembered abraham , and sent lot out of the midst of the overthrow , when he overthrew the cities in the which lot dwelt .",when,NA,onderwyl,NA,kur,ጊዜ,NA,لما,NULL,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,se,mikor,ketika,er,quando,NA,、,NA,NA,NA,NULL,cum,NA,kai,NA,i,NA,NULL,da,NA,laia,هنگامی,raha,gdy,que,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,wakati,markii,cuando,kad,NA,NULL,NA,nang,ื,NULL,NULL,NA,NA,NA,NA,xenikweni,NA
b.GEN.19.33,"and they made their father drink wine that night : and the firstborn went in , and lay with her father ; and he perceived not when she lay down , nor when she arose .",when,NA,toe,NA,kur,NULL,NA,NULL,NULL,NA,NA,кога,NA,sa,NA,時,NA,NA,NA,NA,NA,NA,NULL,když,at,da,NA,NULL,NA,kiam,millal,NA,milloin,quand,NA,NA,NA,NA,NA,ποτε,NA,NULL,NULL,kad,NULL,NULL,",",NULL,NA,NULL,NA,NA,NA,NULL,quando,NA,kada,NA,i,NA,dat,da,NA,NULL,NULL,NULL,kiedy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,kedy,ko,NULL,markay,cuando,kad,NA,när,NA,nang,ื,NULL,yatıp,NA,NA,NA,NA,NULL,NA
b.GEN.19.33,"and they made their father drink wine that night : and the firstborn went in , and lay with her father ; and he perceived not when she lay down , nor when she arose .",when,NA,toe,NA,kur,NULL,NA,NULL,NULL,NA,NA,кога,NA,sa,NA,時,NA,NA,NA,NA,NA,NA,NULL,když,at,da,NA,NULL,NA,kiam,millal,NA,milloin,quand,NA,NA,NA,NA,NA,ποτε,NA,NULL,NULL,kad,NULL,NULL,",",NULL,NA,NULL,NA,NA,NA,NULL,quando,NA,kada,NA,i,NA,dat,da,NA,NULL,NULL,NULL,kiedy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,kedy,ko,NULL,markay,cuando,kad,NA,när,NA,nang,ื,NULL,yatıp,NA,NA,NA,NA,NULL,NA
b.GEN.19.35,"and they made their father drink wine that night also : and the younger arose , and lay with him ; and he perceived not when she lay down , nor when she arose .",when,NA,toe,NA,kur,NULL,NA,NULL,NULL,NA,NA,кога,NA,NULL,NA,時,NA,NA,NA,NA,NA,NA,fwa,když,at,da,NA,NULL,NA,kiam,millal,NA,milloin,quand,NA,NA,NA,NA,NA,ποτε,NA,NULL,समय,kad,NULL,NULL,",",NULL,NA,NULL,NA,NA,NA,NULL,quando,NA,kada,NA,i,NA,als,da,NA,NULL,NULL,NULL,kiedy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,kedy,ko,NULL,markay,cuando,kad,NA,när,NA,nang,NULL,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.19.35,"and they made their father drink wine that night also : and the younger arose , and lay with him ; and he perceived not when she lay down , nor when she arose .",when,NA,toe,NA,kur,NULL,NA,NULL,NULL,NA,NA,кога,NA,NULL,NA,時,NA,NA,NA,NA,NA,NA,fwa,když,at,da,NA,NULL,NA,kiam,millal,NA,milloin,quand,NA,NA,NA,NA,NA,ποτε,NA,NULL,समय,kad,NULL,NULL,",",NULL,NA,NULL,NA,NA,NA,NULL,quando,NA,kada,NA,i,NA,als,da,NA,NULL,NULL,NULL,kiedy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,kedy,ko,NULL,markay,cuando,kad,NA,när,NA,nang,NULL,as,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.20.13,"and it came to pass , when god caused me to wander from my father ' s house , that i said unto her , this is thy kindness which thou shalt shew unto me ; at every place whither we shall come , say of me , he is my brother .",when,NA,toe,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,כאשר,जब,kad,mikor,ketika,þegar,quando,NA,NULL,NA,NA,NA,때에,postquam,NA,kai,NA,i,NA,op,da,NA,NULL,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,wakati,markii,cuando,kad,NA,när,NA,nang,่,assaɣa,zaman,NA,NA,NA,NA,NULL,NA
b.GEN.21.5,"and abraham was an hundred years old , when his son isaac was born unto him .",when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,когато,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,alwaato,NA,kiam,kui,NA,kun,NULL,NA,NA,NA,NA,NA,οτε,NA,NULL,तब,kad,mikor,ketika,þegar,quando,NA,NULL,NA,NA,NA,때에,cum,NA,kai,NA,NULL,NA,toen,da,NA,laiin,NULL,raha,gdy,quando,NA,NA,NA,NA,NA,la,когда,NA,keď,ko,nguva,markii,cuando,kad,NA,när,NA,nang,เม,NULL,doğduğunda,NA,NA,NA,NA,NULL,NA
